path,purpose,sha256,bytes
E:\real\use_code\yoloV8\Experiment\01_同口径消融\runs\20260909_v1\RESULTS.md,8组同口径信号消融结果及边界,5e2b23814d12fdc29268c56ae4ca22461af66140f63ab40fa0e0d465ccc680b8,3600
E:\real\use_code\yoloV8\Experiment\01_同口径消融\runs\20260909_v1\metrics.csv,73/49/39分层指标,eed058a162155cdfd8d18cbe3d6d7285dceff4f3d59b60894a62f2cf246cd11c,4738
E:\real\use_code\yoloV8\Experiment\01_同口径消融\runs\20260909_v1\paired_predictions.csv,976条消融预测明细,e50f4168550c92d77497430217138de496056db5009228188b966fd6224a0f06,373032
E:\real\use_code\yoloV8\Experiment\01_同口径消融\runs\20260909_v1\factorial_contrasts.csv,配对模块效应及置信区间,6de9b5c73099333aafb2b1d73738fb84ff1d967764ce6894dc53db97888c7fa0,3956
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\protocol_lock.json,外测前代码/参数/输入/运行环境锁,f03877f2f7f18d49445588b5b3ed9fcc26122266a096400e2c7db9a3be70df1a,5622
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\prediction_seal.json,271窗预测封存，先于参考合并,577663688bc27364d0defaca0c8d60ea6235bf112785cccefa0d14ada2817266,28895
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\engineering_verification.json,全部时间映射/来源/峰重放验收,9cfeedeb6e08c5c3d35b1cc14f89e03eb8d80676aab3019d9502c213c85f1fab,10857
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\prediction_windows.csv,全部预测与拒绝输出，不隐藏失败,d4dd3253785753da5b7ba48f16d73b84effbbb7570446ab413186e52504d0aa5,64122
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\REVIEW_AND_DISPOSITION.md,同族审查发现及处置/剩余限制,da8ca3da7fda57da39e174a5381b357afec0ff80e3eae5c07079c0953c97c730,2144
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\RESULTS.md,冻结代理信号迁移的总次数外测结果,1af2aed99a85ca78692f23a8de4c1401ef721188c0d5d569cc148e407b804055,915
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\metrics.json,R2/MAE/RMSE/平均计数准确度/按牛聚类区间,c2bc1abf33ff43c63f67050928b72a68de659240b83c95102132ba8019277f29,2797
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\all_271_windows.csv,全部窗口参考状态、预测状态、排除原因,cca3153bbb156def56fca97bafd139dcc734990cd75536fc567377177412b728,297670
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\paired_count_results.csv,主分析可计数且有预测的交集,d498dd21233c46c5de037134c9a3d531fa55cb93a8b18d7a2d0564de6a3ea2fa,132803
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\coverage.png,全部/人工可观察/算法可输出/主分析覆盖图,d86b190638c428a1039077876024372425e489baf73195d69d2c6fd9257a0514,48129
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\20260914_v3\index.html,320窗人工逐事件标注页面，隐藏历史总数和算法,429925caee252be0ebe290cdd20a16e6994f6cb4c2bab17f57130a8351ae303f,286409
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\20260914_v3\使用说明.md,怎样填写事件、区间及导出三表,adcd64f3ad78f2f8f66a032b0821f2d5ae87e3a7c9680e353772269297ca5d80,1811
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\20260914_v3\ui_validation.json,真实本地视频播放和桌面/手机页面测试,6bcd6fa3b903820e2a6d27bb643d078d2d07dfb60099ba9381c40229ba27a046,433
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\verification.json,49个观看副本逐帧像素与时间等价核查,298f897869832a4b159260e0367d55b8097bff10f0bde366c818e52086ee32a7,332
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\reference_tools.py,人工事件验证与一对一匹配评分，尚无事件输入,943d3a2b77766e8351740e006b94a9a16712746da0ce292abe536079c7b185cb,13249
E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\submissions\20260911_v2\delivery_artifact_manifest.csv,R1人工提交归档及原字节哈希,df1f2878dd252c7265f928547bd2a79bd4631a49b2c6f7afc32c3d3896893efb,7173
E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\count_evaluation\scatter_bland_altman.png,外测散点和Bland-Altman图，不把温度R2当RR R2,a87ff0a3b06eedac1cfaf556e1d5a537f67041fd8b555ab840c44b7cf6a5e973,145064
