frame_id,review_id,window_id,target_seconds,source_seconds,width,height,image_path,image_sha256,source,source_sha256
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,0,0.0,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t00.png,ff5c4560f34b6a7ee0456815ec3ec037158185f36f346fa036bf2924a719baa5,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000000.jpg,da469e4faa47899e4333f487c3d218070d95a2cd6686a17d80ba7df34b7124db
R3-01_t05,R3-01,jiufu_bb78a10aeab6d5_first30,5,4.913333333333334,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t05.png,a18123742833254c91ac1ec92b28d040afd6e8e8ab2af0695f07aa242e9ef917,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000043.jpg,7e9dac4a9707b893359ba9674a6e25e051d0be673ae433c7dbe72f264d0b66dd
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,10,9.946666666666667,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t10.png,49c330bc7df52ccd2bcc25cddffe2bf501197a37ba40d45bfb603528c8baf650,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000087.jpg,232177dd94d7f854db60427d9d6938c02e153ca843c0915da148963878230b0b
R3-01_t15,R3-01,jiufu_bb78a10aeab6d5_first30,15,14.943333333333335,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t15.png,b0fc4a916267c4cae6bf850a41678d3b87775cabcc5ee76f7982446fcc381939,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000130.jpg,ec9454cc70f223007be4ee63f9bf5e935e8aa756d3fe84e6133303e6b4298911
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,20,20.066666666666663,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t20.png,3b5165e4277e528dda06cac7ceec47a215002d9d26a2c30a08ad3a30fed5ab4e,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000174.jpg,e66a4025f35b91681de9a608860ea241064c24eac7214eb93ce51521fd49c394
R3-01_t25,R3-01,jiufu_bb78a10aeab6d5_first30,25,24.96333333333333,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-01_t25.png,d3a661a11a632f9030607a237d0fe48b7baced93434aa7c37ac7af2aed7a056f,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_bb78a10aeab6d5_first30\frames\frame_000217.jpg,44c4c989e57c1924b36cd6dded5578bc5ef28fa2cd66966e03b8c98236a57e0b
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,0,0.0,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-02_t00.png,828c5acf5f690c91ced2a3fcd65bab2cdc1f5f1830c2c410d73e9a085bb30561,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_7cb985938d0a6a_first30\frames\frame_000000.jpg,b4ebee8983237069b201efc2c43070060d44b3ccefa58bbd348cc22ce42b7a0e
R3-02_t05,R3-02,jiufu_7cb985938d0a6a_first30,5,4.901666666666667,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-02_t05.png,962b72b174f281e65802e3ae647bf85765d1952e9dd3562ed7cfd518dd6295be,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_7cb985938d0a6a_first30\frames\frame_000043.jpg,8b1da403f5d508c27b4ec31d2b7026ececec9a8ed59270da8b90d1db57dc3724
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,10,10.026666666666667,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-02_t10.png,075c3759ba252594302d7264b3b3e60545107c694a7f68384a2d8b05b084fdd9,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_7cb985938d0a6a_first30\frames\frame_000087.jpg,8ff4a463b2b26e7c4184e0f168f741015e7a882bce181a51c172ca51f17a2b08
R3-02_t15,R3-02,jiufu_7cb985938d0a6a_first30,15,14.933333333333334,1080,1440,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\frames\R3-02_t15.png,6e9102dd3a1847973ca77f203672cabe05ad059c52402502188b8513f094dc97,E:\real\use_code\yoloV8\Experiment\02_冻结独立测试\external_transfer\20260914_v2\windows\jiufu_7cb985938d0a6a_first30\frames\frame_000130.jpg,05f77d5023ea180f57158301627b46fcf836f224231dcea01d28cc95690fb2cf
