frame_id,region,cx,cy,rx,ry,minor_diameter_native,minor_diameter_at_640
R3-01_t00,A,640.4503699296358,669.77490234375,28.609271523178847,30.51655629139077,57.218543046357695,25.430463576158974
R3-01_t00,B,803.205298013245,671.68212890625,28.60927152317879,31.15233728269868,57.21854304635758,25.430463576158925
R3-01_t10,B,428.1059796668046,1083.019857848717,34.9669068191225,38.14569536423835,69.933813638245,31.081694950331112
R3-01_t20,B,420.0,732.1875,31.875,32.8125,63.75,28.333333333333332
R3-02_t00,A,345.0,722.8125,18.75,27.1875,37.5,16.666666666666668
R3-02_t00,B,443.4375,782.8125,15.9375,29.0625,31.875,14.166666666666666
R3-02_t10,A,471.5625,448.125,14.0625,22.5,28.125,12.5
R3-02_t10,B,576.5625,453.75,15.9375,28.125,31.875,14.166666666666666
R3-02_t20,A,498.75,428.4375,16.875,25.3125,33.75,15.0
R3-02_t20,B,607.5,443.4375,18.75,27.1875,37.5,16.666666666666668
R3-03_t00,B,450.9375,283.125,29.0625,28.125,56.25,25.0
R3-03_t20,A,619.6875,506.25,25.3125,26.25,50.625,22.5
R3-03_t20,B,744.375,372.1875,24.375,27.1875,48.75,21.666666666666668
R3-05_t00,A,738.75,178.125,31.875,50.625,63.75,28.333333333333332
R3-05_t00,B,908.4375,176.25,17.8125,30.0,35.625,15.833333333333334
R3-05_t10,A,935.625,723.75,24.375,41.25,48.75,21.666666666666668
R3-05_t20,A,1046.25,728.4375,18.75,32.8125,37.5,16.666666666666668
R3-06_t00,A,537.1875,512.8125,12.1875,15.9375,24.375,10.833333333333334
R3-06_t00,B,671.25,522.1875,11.25,17.8125,22.5,10.0
R3-06_t10,A,293.4375,674.0625,15.9375,21.5625,31.875,14.166666666666666
R3-06_t10,B,459.375,671.25,15.0,22.5,30.0,13.333333333333334
R3-06_t20,A,915.9375,545.625,23.4375,31.875,46.875,20.833333333333332
R3-09_t00,A,619.6875,742.5,14.0625,26.25,28.125,12.5
R3-09_t00,B,793.125,745.3125,13.125,19.6875,26.25,11.666666666666666
R3-09_t10,A,495.9375,1129.6875,12.1875,29.0625,24.375,10.833333333333334
R3-09_t10,B,679.6875,1120.3125,15.9375,19.6875,31.875,14.166666666666666
R3-09_t20,A,696.5625,535.3125,19.6875,27.1875,39.375,17.5
R3-09_t20,B,866.25,528.75,16.875,26.25,33.75,15.0
R3-10_t00,A,351.5625,500.625,14.0625,26.25,28.125,12.5
R3-10_t00,B,560.625,496.875,28.125,31.875,56.25,25.0
R3-10_t20,A,690.0,268.125,26.25,33.75,52.5,23.333333333333332
R3-10_t20,B,932.8125,265.3125,21.5625,21.5625,43.125,19.166666666666668
R3-11_t00,A,570.0,649.6875,24.375,25.3125,48.75,21.666666666666668
R3-11_t00,B,727.5,666.5625,9.375,17.8125,18.75,8.333333333333334
R3-14_t00,A,500.625,1290.9375,11.25,17.8125,22.5,10.0
R3-14_t00,B,660.9375,1274.0625,10.3125,15.9375,20.625,9.166666666666666
R3-14_t10,A,360.0,997.5,7.5,16.875,15.0,6.666666666666667
R3-14_t10,B,503.4375,1002.1875,14.0625,21.5625,28.125,12.5
R3-14_t20,A,405.9375,986.25,10.3125,15.0,20.625,9.166666666666666
R3-14_t20,B,553.125,994.6875,13.125,17.8125,26.25,11.666666666666666
R3-22_t10,A,781.875,624.375,20.625,22.5,41.25,18.333333333333332
R3-22_t20,A,458.4375,1064.0625,17.8125,23.4375,35.625,15.833333333333334
R3-22_t20,B,607.5,1065.0,9.375,22.5,18.75,8.333333333333334
R3-23_t00,A,591.5625,767.8125,25.3125,30.9375,50.625,22.5
R3-23_t00,B,794.0625,782.8125,14.0625,27.1875,28.125,12.5
R3-23_t20,B,126.5625,406.875,27.1875,24.375,48.75,21.666666666666668
R3-24_t00,A,718.125,469.6875,18.75,21.5625,37.5,16.666666666666668
R3-24_t10,A,295.3125,502.5,15.9375,22.5,31.875,14.166666666666666
R3-24_t10,B,464.0625,473.4375,12.1875,19.6875,24.375,10.833333333333334
R3-24_t20,A,806.25,825.0,20.625,26.25,41.25,18.333333333333332
