frame_id,review_id,window_id,visibility,notes,expected_nostrils,stage,baseline_boxes,baseline_high_points,upstream_timestamp_rejected
R3-01_t00,R3-01,jiufu_bb78a10aeab6d5_first30,two_visible,,2,visible_but_no_box,0,0,False
R3-01_t10,R3-01,jiufu_bb78a10aeab6d5_first30,one_visible,,1,visible_but_no_box,0,0,False
R3-01_t20,R3-01,jiufu_bb78a10aeab6d5_first30,one_visible,,1,visible_but_no_box,0,0,False
R3-02_t00,R3-02,jiufu_7cb985938d0a6a_first30,two_visible,,2,high_keypoint_available,1,1,False
R3-02_t10,R3-02,jiufu_7cb985938d0a6a_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-02_t20,R3-02,jiufu_7cb985938d0a6a_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-03_t00,R3-03,jiufu_2aaced556ff39d_first30,one_visible,,1,high_keypoint_available,1,1,True
R3-03_t10,R3-03,jiufu_2aaced556ff39d_first30,not_visible,鼻子离开摄像区域,0,human_not_visible,0,0,True
R3-03_t20,R3-03,jiufu_2aaced556ff39d_first30,two_visible,,2,visible_but_no_box,0,0,True
R3-05_t00,R3-05,jiufu_0d1522aef374ec_first30,two_visible,可能会不清晰,2,visible_but_no_box,0,0,False
R3-05_t10,R3-05,jiufu_0d1522aef374ec_first30,one_visible,,1,high_keypoint_available,1,1,False
R3-05_t20,R3-05,jiufu_0d1522aef374ec_first30,one_visible,,1,visible_but_no_box,0,0,False
R3-06_t00,R3-06,jiufu_6328167f32f25e_first30,two_visible,,2,high_keypoint_available,1,2,True
R3-06_t10,R3-06,jiufu_6328167f32f25e_first30,two_visible,,2,visible_but_no_box,0,0,True
R3-06_t20,R3-06,jiufu_6328167f32f25e_first30,one_visible,,1,visible_but_no_box,0,0,True
R3-09_t00,R3-09,jiufu_440a29cebcae1c_first30,two_visible,,2,high_keypoint_available,1,1,False
R3-09_t10,R3-09,jiufu_440a29cebcae1c_first30,two_visible,,2,visible_but_no_box,0,0,False
R3-09_t20,R3-09,jiufu_440a29cebcae1c_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-10_t00,R3-10,jiufu_f920435ef76ec4_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-10_t10,R3-10,jiufu_f920435ef76ec4_first30,not_visible,鼻子离开摄像范围内,0,human_not_visible,0,0,False
R3-10_t20,R3-10,jiufu_f920435ef76ec4_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-11_t00,R3-11,jiufu_13f838ff73e069_first30,two_visible,,2,visible_but_no_box,0,0,False
R3-11_t10,R3-11,jiufu_13f838ff73e069_first30,not_visible,鼻子离开摄像范围内,0,human_not_visible,0,0,False
R3-11_t20,R3-11,jiufu_13f838ff73e069_first30,not_visible,鼻子离开摄像范围内,0,human_not_visible,1,1,False
R3-14_t00,R3-14,jiufu_4f7144680fca9d_first30,two_visible,,2,visible_but_no_box,0,0,True
R3-14_t10,R3-14,jiufu_4f7144680fca9d_first30,two_visible,,2,high_keypoint_available,1,1,True
R3-14_t20,R3-14,jiufu_4f7144680fca9d_first30,two_visible,,2,high_keypoint_available,1,2,True
R3-22_t00,R3-22,jiufu_bd77cfa7950eaa_first30,not_visible,头部朝下，鼻子受到遮挡,0,human_not_visible,0,0,False
R3-22_t10,R3-22,jiufu_bd77cfa7950eaa_first30,one_visible,,1,visible_but_no_box,0,0,False
R3-22_t20,R3-22,jiufu_bd77cfa7950eaa_first30,two_visible,,2,high_keypoint_available,1,1,False
R3-23_t00,R3-23,jiufu_cc60214ff2d564_first30,two_visible,,2,high_keypoint_available,1,1,False
R3-23_t10,R3-23,jiufu_cc60214ff2d564_first30,not_visible,鼻子离开摄像范围内,0,human_not_visible,0,0,False
R3-23_t20,R3-23,jiufu_cc60214ff2d564_first30,one_visible,,1,high_keypoint_available,1,1,False
R3-24_t00,R3-24,jiufu_55441b4c6fe974_first30,one_visible,,1,high_keypoint_available,1,1,False
R3-24_t10,R3-24,jiufu_55441b4c6fe974_first30,two_visible,,2,high_keypoint_available,1,2,False
R3-24_t20,R3-24,jiufu_55441b4c6fe974_first30,one_visible,,1,high_keypoint_available,1,1,False
