frame_id,video_group,partition_group,proposed_fold,status,reason,json_path,current_image_path,current_label_path,legacy_txt_version_unresolved
16170075_frame_000000,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000000.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000000.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000000.txt,True
16170075_frame_000003,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000003.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000003.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000003.txt,True
16170075_frame_000006,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000006.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000006.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000006.txt,True
16170075_frame_000009,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000009.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000009.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000009.txt,True
16170075_frame_000012,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000012.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000012.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000012.txt,True
16170075_frame_000015,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000015.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\val\16170075_frame_000015.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\val\16170075_frame_000015.txt,True
16170075_frame_000018,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000018.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000018.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000018.txt,True
16170075_frame_000021,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000021.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000021.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000021.txt,True
16170075_frame_000024,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000024.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000024.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000024.txt,True
16170075_frame_000027,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000027.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\val\16170075_frame_000027.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\val\16170075_frame_000027.txt,True
16170075_frame_000030,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000030.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000030.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000030.txt,True
16170075_frame_000033,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000033.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000033.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000033.txt,True
16170075_frame_000036,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000036.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000036.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000036.txt,True
16170075_frame_000039,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000039.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000039.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000039.txt,True
16170075_frame_000042,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000042.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000042.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000042.txt,True
16170075_frame_000045,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000045.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\val\16170075_frame_000045.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\val\16170075_frame_000045.txt,True
16170075_frame_000048,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000048.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000048.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000048.txt,True
16170075_frame_000051,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000051.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000051.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000051.txt,True
16170075_frame_000054,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000054.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000054.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000054.txt,True
16170075_frame_000057,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000057.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000057.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000057.txt,True
16170075_frame_000060,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000060.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000060.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000060.txt,True
16170075_frame_000063,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000063.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000063.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000063.txt,True
16170075_frame_000066,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000066.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000066.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000066.txt,True
16170075_frame_000069,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000069.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\val\16170075_frame_000069.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\val\16170075_frame_000069.txt,True
16170075_frame_000072,16170075,16170075,4,draft_provenance_pending,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000072.json,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000072.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000072.txt,True
