window_id,prediction_status,reason,frame_shape,review_id,frames,detected_frame_fraction,finite_signal_fraction,both_finite_fraction,high_keypoint_fraction,left_source_direct_fraction,right_source_direct_fraction,left_span,right_span,median_spacing,radius_median,first_blocking_stage,tp,fp,fn,truth_count,rr_abs_error
jiufu_336c6a37c1e8bf_first30,ok,,"[1440, 1080, 3]",,261.0,0.524904214559387,0.524904214559387,0.524904214559387,0.4061302681992337,0.4061302681992337,0.08045977011494253,3.87575284131119,4.668014175468013,87.35370522553671,20.0,signal_available,,,,,
jiufu_3daca4f99093f5_first30,ok,,"[1440, 1080, 3]",,261.0,0.9042145593869731,0.9042145593869731,0.9042145593869731,0.7969348659003831,0.7547892720306514,0.17624521072796934,3.7921540737446797,7.634692582775621,109.0917741057352,20.0,signal_available,,,,,
jiufu_aed96a8cd6dde3_first30,ok,,"[1440, 1080, 3]",,261.0,0.7049808429118773,0.7049808429118773,0.7049808429118773,0.6896551724137931,0.685823754789272,0.46360153256704983,1.4269376206558135,1.7986128777830395,100.1855605690195,20.0,signal_available,2.0,7.0,9.0,11.0,4.0
jiufu_e6b17e79b0b593_first30,abstain,long_timestamp_gap,"[1440, 1080, 3]",,,,,,,,,,,,,timestamp_sampling,,,,,
jiufu_d57a389e370ce5_first30,ok,,"[1440, 1080, 3]",,261.0,0.9540229885057471,0.9540229885057471,0.9540229885057471,0.9272030651340997,0.9003831417624522,0.8582375478927203,4.163804146090154,1.9359351894057646,90.81409680596292,20.0,signal_available,15.0,5.0,5.0,20.0,0.0
jiufu_c3e3a442b21394_first30,ok,,"[1440, 1080, 3]",,261.0,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.6666666666666666,0.5747126436781609,0.47509578544061304,2.977416165326531,2.1594460992857734,119.89769832072588,20.0,signal_available,,,,,
jiufu_d34b67b3b4cc6c_first30,abstain,long_timestamp_gap,"[1440, 1080, 3]",,,,,,,,,,,,,timestamp_sampling,,,,,
jiufu_b79d91910dc17a_first30,ok,,"[1440, 1080, 3]",,261.0,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.4827586206896552,0.46360153256704983,0.36398467432950193,2.48430359892658,4.840864118819617,110.64577225091428,20.0,signal_available,2.0,7.0,11.0,13.0,8.0
jiufu_d31bd7d7642ce6_first30,abstain,long_timestamp_gap,"[1440, 1080, 3]",,,,,,,,,,,,,timestamp_sampling,0.0,0.0,11.0,11.0,
jiufu_73db0107967f0e_first30,abstain,long_timestamp_gap,"[1440, 1080, 3]",,,,,,,,,,,,,timestamp_sampling,0.0,0.0,5.0,5.0,
jiufu_8db6ed7f9c3ad8_first30,ok,,"[1440, 1080, 3]",,261.0,0.7241379310344828,0.7241379310344828,0.7164750957854407,0.7203065134099617,0.6973180076628352,0.632183908045977,4.288047131042905,1.4970474124489996,142.80848490140366,20.0,signal_available,7.0,9.0,5.0,12.0,8.0
jiufu_8a93efdf555173_first30,ok,,"[1440, 1080, 3]",,261.0,0.6704980842911877,0.6704980842911877,0.6628352490421456,0.6245210727969349,0.5862068965517241,0.5287356321839081,6.73018344821315,3.1659474998085457,124.10028327217896,20.0,signal_available,,,,,
