window_id,video_id,video_path,source_path,source_start_seconds,duration_seconds,cohort,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,prior_algorithm_exposure,browser_video_path
16170075_anchored_30s,16170075,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\16170075_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,205.75383084577115,30.05393034825871,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\16170075_browser_lossless.mp4
170272_anchored_30s,170272,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170272_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,0,30.017849344978167,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170272_browser_lossless.mp4
170333_anchored_30s,170333,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170333_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,0,30.042281382880383,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170333_browser_lossless.mp4
170334_anchored_30s,170334,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170334_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,141.6646900269542,29.95859838274933,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170334_browser_lossless.mp4
177395_anchored_30s,177395,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\177395_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,0,29.998069276741063,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\177395_browser_lossless.mp4
190546_anchored_30s,190546,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190546_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,107.34997020262216,30.01181962653953,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190546_browser_lossless.mp4
190588_anchored_30s,190588,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\190588_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,63.388757951121526,29.959285236022765,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\190588_browser_lossless.mp4
196434_anchored_30s,196434,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\196434_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,32.14201870999508,30.04580009847366,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\196434_browser_lossless.mp4
200713_anchored_30s,200713,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200713_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,201.9588941229251,29.975560789591743,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200713_browser_lossless.mp4
200718_anchored_30s,200718,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\200718_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,0,30.05568670847165,lindian49,R2,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\200718_browser_lossless.mp4
