window_id,video_id,raw_source_path,window_start_seconds,window_seconds,bilateral_valid_fraction_1hz,short_clip_reference_rr_bpm_not_window_truth,manual_breath_count,manual_rr_bpm,annotation_status,labeler_id,review_notes,include_in_fixed_window_evaluation
16170075_anchored_30s,16170075,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,205.75383084577115,30.05393034825871,0.9,43,27,,completed,,,
170272_anchored_30s,170272,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,0,30.017849344978167,0.8666666666666667,50,24,,completed,,,
170333_anchored_30s,170333,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,0,30.042281382880383,0.8666666666666667,42,19,,completed,,,
170334_anchored_30s,170334,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,141.6646900269542,29.95859838274933,1,38,15,,completed,,,
177395_anchored_30s,177395,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,0,29.998069276741063,0.7666666666666667,75,35,,completed,,,
190546_anchored_30s,190546,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,107.34997020262216,30.01181962653953,0.9333333333333333,50,20,,uncertain,,,
190588_anchored_30s,190588,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,63.388757951121526,29.959285236022765,0.7666666666666667,60,23,,completed,,,
196434_anchored_30s,196434,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,32.14201870999508,30.04580009847366,0.8333333333333334,36,15,,completed,,,
200713_anchored_30s,200713,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,201.9588941229251,29.975560789591743,0.7333333333333333,38,17,,completed,,,
200718_anchored_30s,200718,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,0,30.05568670847165,0.7666666666666667,38,17,,completed,,,
210989_anchored_30s,210989,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T170919n210989\20230805T170919n210989.MP4,65.15901861252115,30.03784545967288,1,38,18,,completed,,,
211056_anchored_30s,211056,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\20230805T163001n211056.MP4,138.91940685611186,29.96526048714479,0.8666666666666667,46,26,,completed,,,
211070_anchored_30s,211070,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,17.14854570637119,29.952793167128345,0.8,60,24,,uncertain,,,
