frame_id,video_group,group_id,label,x,y,in_image,has_nose_box,inside_nose_box
16170075_frame_000000,16170075,0,left_nostril,631.0,449.0,True,True,True
16170075_frame_000000,16170075,0,right_nostril,500.0,449.0,True,True,True
16170075_frame_000003,16170075,0,left_nostril,614.0,466.0,True,True,True
16170075_frame_000003,16170075,0,right_nostril,485.0,468.0,True,True,True
16170075_frame_000006,16170075,0,left_nostril,570.0,490.0,True,True,True
16170075_frame_000006,16170075,0,right_nostril,442.0,493.0,True,True,True
16170075_frame_000009,16170075,0,left_nostril,557.0,514.0,True,True,True
16170075_frame_000009,16170075,0,right_nostril,431.0,514.0,True,True,True
16170075_frame_000012,16170075,0,left_nostril,575.0,514.0,True,True,True
16170075_frame_000012,16170075,0,right_nostril,448.0,516.0,True,True,True
16170075_frame_000015,16170075,0,left_nostril,579.0,518.0,True,True,True
16170075_frame_000015,16170075,0,right_nostril,455.0,519.0,True,True,True
16170075_frame_000018,16170075,0,left_nostril,580.0,513.0,True,True,True
16170075_frame_000018,16170075,0,right_nostril,449.0,514.0,True,True,True
16170075_frame_000021,16170075,0,left_nostril,583.0,504.0,True,True,True
16170075_frame_000021,16170075,0,right_nostril,459.0,504.0,True,True,True
16170075_frame_000024,16170075,0,left_nostril,583.0,492.0,True,True,True
16170075_frame_000024,16170075,0,right_nostril,456.0,494.0,True,True,True
16170075_frame_000027,16170075,0,left_nostril,589.0,476.0,True,True,True
16170075_frame_000027,16170075,0,right_nostril,462.0,480.0,True,True,True
16170075_frame_000030,16170075,0,left_nostril,590.0,479.0,True,True,True
16170075_frame_000030,16170075,0,right_nostril,463.0,481.0,True,True,True
16170075_frame_000033,16170075,0,left_nostril,599.0,479.0,True,True,True
16170075_frame_000033,16170075,0,right_nostril,468.0,478.0,True,True,True
16170075_frame_000036,16170075,0,left_nostril,599.0,477.0,True,True,True
16170075_frame_000036,16170075,0,right_nostril,467.0,477.0,True,True,True
