window_id,file_id,farm,source_path,source_session,start_seconds,duration_seconds,sampling_rule,sampled_fingerprint
jiufu_336c6a37c1e8bf_first30,jiufu_336c6a37c1e8bf,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084330-1479.MP4,20240729T084330_1479,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b2e43668922948297f876324d8b61ded446015b1b599805810226b0a1c806e49
jiufu_3daca4f99093f5_first30,jiufu_3daca4f99093f5,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084508-1285.MP4,20240729T084508_1285,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5740d367e452bf9ef63a0b36e3d2ef23e75cca302acc6c7300e386037d74b37f
jiufu_aed96a8cd6dde3_first30,jiufu_aed96a8cd6dde3,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084843-A1022198.MP4,20240729T084843_A1022198,0.0,30.0,first_30_seconds_predeclared_not_best_segment,821aefad09ce3e11d68b60ecdf01de45f44789e2d16292fef6069a4c30bbf232
jiufu_e6b17e79b0b593_first30,jiufu_e6b17e79b0b593,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085342-1568.MP4,20240729T085342_1568,0.0,30.0,first_30_seconds_predeclared_not_best_segment,d7cb8354eae7a4d9f0cb74759d9d9a0b5770eddd7d7996d9cfbcef185b394458
jiufu_d57a389e370ce5_first30,jiufu_d57a389e370ce5,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,20240729T085557_508,0.0,30.0,first_30_seconds_predeclared_not_best_segment,334dd2f1cc3f303b79515b151c5820ad3b610a11ee3ff3eb79837b4d74528ee5
jiufu_c3e3a442b21394_first30,jiufu_c3e3a442b21394,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085753-100.MP4,20240729T085753_100,0.0,30.0,first_30_seconds_predeclared_not_best_segment,cbc9f454af678378b647dd9bfec612c978c77758b6c78cbeb471d6e890ce832f
jiufu_d34b67b3b4cc6c_first30,jiufu_d34b67b3b4cc6c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090228-638.MP4,20240729T090228_638,0.0,30.0,first_30_seconds_predeclared_not_best_segment,91dccffcb28450fdcc9c21f35b24ce35cea55977977b07186ec9dab932643f80
jiufu_b79d91910dc17a_first30,jiufu_b79d91910dc17a,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,20240729T090927_681,0.0,30.0,first_30_seconds_predeclared_not_best_segment,43cffac78006f1a3d8aa3740b91d2e45c113ff45eb4a8efbdfe7cdf36af98707
jiufu_d31bd7d7642ce6_first30,jiufu_d31bd7d7642ce6,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091138-921.MP4,20240729T091138_921,0.0,30.0,first_30_seconds_predeclared_not_best_segment,6806798096532414cac7831d4d7b19bce0d57a8ea4c78fcef228d3848297c361
jiufu_73db0107967f0e_first30,jiufu_73db0107967f0e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091441-683.MP4,20240729T091441_683,0.0,30.0,first_30_seconds_predeclared_not_best_segment,24145ea93caa8663bec2ad5f07be1443161bb59a91a737c58c1a078506e00b67
jiufu_8db6ed7f9c3ad8_first30,jiufu_8db6ed7f9c3ad8,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,20240729T092004_677,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b368d0ae9083d6eb7551345a02aadf7497fe2a52a0a1f64b345558b2e202e48d
jiufu_8a93efdf555173_first30,jiufu_8a93efdf555173,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,20240729T092254_844,0.0,30.0,first_30_seconds_predeclared_not_best_segment,baf545a4a37362d374c34d2b244de312bd7173bbff82322e8384816d7b4c2f8a
