review_id,window_id,cohort,sampling_stratum,cluster,exported_status,confirmed_events,uncertain_events,phase_basis,phase_field_disagreement,note_conflict,eligible_full_window,strict_visible_phase,frame_rounding_error_seconds,reference_notes
R3-01,jiufu_bb78a10aeab6d5_first30,jiufu271,jiufu271_abstain,1414,complete,16,0,visible_expiration,False,False,True,True,0.0003333333333372934,
R3-02,jiufu_7cb985938d0a6a_first30,jiufu271,jiufu271_ok,659,complete,13,0,visible_expiration,False,False,True,True,0.0003333333333337407,
R3-03,jiufu_2aaced556ff39d_first30,jiufu271,jiufu271_abstain,957,complete,9,0,visible_expiration,False,False,True,True,0.00033333333333551707,
R3-04,zs190621_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,complete,19,0,visible_expiration,False,False,True,True,0.0004982128444597222,
R3-05,jiufu_0d1522aef374ec_first30,jiufu271,jiufu271_ok,A1022205,complete,15,0,visible_expiration,False,False,True,True,0.0003333333333372934,
R3-06,jiufu_6328167f32f25e_first30,jiufu271,jiufu271_abstain,1371,complete,12,0,thermal_extremum_only,False,False,True,False,0.0003333333333372934,
R3-07,bs200794_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,complete,27,0,visible_expiration,False,False,True,True,0.00044239631336395746,
R3-08,bs211063_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,complete,31,0,visible_expiration,False,False,True,True,0.00046691346598848327,
R3-09,jiufu_440a29cebcae1c_first30,jiufu271,jiufu271_ok,1487,complete,12,0,visible_expiration,False,False,True,True,0.0003333333333337407,
R3-10,jiufu_f920435ef76ec4_first30,jiufu271,jiufu271_ok,1428,complete,10,0,visible_expiration,False,False,True,True,0.0003333333333337407,
R3-11,jiufu_13f838ff73e069_first30,jiufu271,jiufu271_ok,683,complete,2,0,visible_expiration,False,True,False,False,0.00033333333333340764,这个没有参考意义，因为从4s开始到结尾鼻子一直在摄像范围外
R3-12,ns211095_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,complete,22,0,thermal_extremum_only,True,False,True,False,0.0004841242350774877,
R3-13,bs210974_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080524n210974\20230807T080524n210974.MP4,complete,31,0,visible_expiration,False,False,True,True,0.0004989604989604768,
R3-14,jiufu_4f7144680fca9d_first30,jiufu271,jiufu271_abstain,583,complete,22,0,visible_expiration,False,False,True,True,0.0003333333333372934,
R3-15,zs170416_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103825n170416\20230806T103825n170416.MP4,complete,22,0,visible_expiration,False,False,True,True,0.00048214492083609173,
R3-16,170272_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,complete,24,0,visible_expiration,False,False,True,True,0.00048303622771683763,
R3-17,211070_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,complete,30,0,visible_expiration,False,False,True,True,0.0004689607865557832,
R3-18,bs455_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T092453n455\20230806T092453n455.MP4,complete,20,0,visible_expiration,False,False,True,True,0.00047674015929999314,
R3-19,16170075_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,complete,28,0,visible_expiration,False,False,True,True,0.0004953184602953797,
R3-20,ns196527_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073230n196527\20230807T073230n196527.MP4,complete,36,0,visible_expiration,False,False,True,True,0.0004917733089566667,
R3-21,bs189556_anchored_30s,lindian49,lindian49_ok,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T082122n189556风机影响大\20230807T082122n189556风机影响大.MP4,complete,13,0,visible_expiration,False,False,True,True,0.0004965389940032594,
R3-22,jiufu_bd77cfa7950eaa_first30,jiufu271,jiufu271_ok,743,complete,14,0,thermal_extremum_only,False,False,True,False,0.0003333333333372934,
R3-23,jiufu_cc60214ff2d564_first30,jiufu271,jiufu271_ok,1308,complete,10,0,visible_expiration,False,False,True,True,0.0003333333333372934,
R3-24,jiufu_55441b4c6fe974_first30,jiufu271,jiufu271_ok,1129,complete,10,0,visible_expiration,False,False,True,True,0.0003333333333372934,
