file_id,source_path,date_from_name,cow_token_unverified,session_token,include_in_test,yolo_training_exposure,yolo_exposure_evidence,rr_tuning_exposure,rr_result_viewing_exposure,cow_identity_verified,verified_cow_id,modality_verified,duplicate_identity_reviewed,reviewer,review_date,notes,exposure_evidence
jiufu_336c6a37c1e8bf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084330-1479.MP4,20240729,1479,20240729T084330_1479,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_3daca4f99093f5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084508-1285.MP4,20240729,1285,20240729T084508_1285,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_aed96a8cd6dde3,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084843-A1022198.MP4,20240729,A1022198,20240729T084843_A1022198,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_e6b17e79b0b593,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085342-1568.MP4,20240729,1568,20240729T085342_1568,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_d57a389e370ce5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,20240729,508,20240729T085557_508,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c3e3a442b21394,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085753-100.MP4,20240729,100,20240729T085753_100,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_d34b67b3b4cc6c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090228-638.MP4,20240729,638,20240729T090228_638,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_b79d91910dc17a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,20240729,681,20240729T090927_681,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_d31bd7d7642ce6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091138-921.MP4,20240729,921,20240729T091138_921,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_73db0107967f0e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091441-683.MP4,20240729,683,20240729T091441_683,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8db6ed7f9c3ad8,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,20240729,677,20240729T092004_677,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8a93efdf555173,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,20240729,844,20240729T092254_844,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_75a484b3f5253b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,20240729,1425,20240729T092746_1425,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_35f0adf19ed368,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,20240729,622,20240729T092858_622,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_7045c3900be0cc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,20240729,921,20240729T093120_921,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_21e342957e0fd7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,20240729,1420,20240729T094111_1420,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_36ee658c295629,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094529-1469.MP4,20240729,1469,20240729T094529_1469,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c92bd308748a09,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,20240729,A1021154,20240729T094758_A1021154,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_551d99f2e9c264,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095041-1241.MP4,20240729,1241,20240729T095041_1241,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c95ae69597cc50,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,20240729,1279,20240729T095351_1279,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_94796ccea127be,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,20240729,989,20240729T095542_989,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_56e83ecf9a14bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,20240729,1574,20240729T095754_1574,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_3cbd345626f05c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,20240729,161,20240729T100519_161,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_3ac83315834f77,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,20240729,713,20240729T100915_713,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c68c62cb67dede,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,20240729,623,20240729T101454_623,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_3721f7cf5a844c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,20240729,653,20240729T101712_653,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_65b745e540b8c7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,20240729,281,20240729T101932_281,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_2e919f7b4ce7d4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,20240729,353,20240729T102206_353,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_f7266533e3399d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,20240729,558,20240729T102521_558,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_943fc8675c704c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,20240729,347,20240729T102849_347,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_bd77cfa7950eaa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,20240729,743,20240729T133223_743,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_2aaced556ff39d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,20240729,957,20240729T133413_957,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_90ed4ac916a295,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,20240729,179,20240729T133635_179,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_cd5eea76388f30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,20240729,728,20240729T133817_728,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6cbcb0311b3ebf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,20240729,956,20240729T134035_956,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_4f7144680fca9d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,20240729,583,20240729T134435_583,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6a641dd078f572,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,20240729,753,20240729T134713_753,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_edd9eebe6de991,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,20240729,943,20240729T134930_943,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_58c38973aff558,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,20240729,771,20240729T135104_771,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_665326590feedb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,20240729,447,20240729T135221_447,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_053d6bd561c20b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,20240729,1838,20240729T135554_1838,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_9a14e05c1c184c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,20240729,728,20240729T135926_728,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_124bf365605cd6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,20240729,1299,20240729T140349_1299,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_cc565ea0bfa396,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,20240729,1246,20240729T140619_1246,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_0a14da4ad52431,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,20240729,1134,20240729T142101_1134,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_abada3dda3e8b7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,20240729,846,20240729T080938_846,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
