file_id,farm,path,relative_path,bytes,sampled_fingerprint,sha256_full,date_from_name,time_from_name,cow_token,cow_identity_verified,session_token,modality_hint,modality_verified,opens,fps_metadata,frames_metadata,duration_seconds_metadata,width,height,known_development_session,known_development_cow,yolo_training_exposure,rr_tuning_exposure_review,rr_result_viewing_exposure_review,candidate_role,eligible_independent_test,sampled_duplicate_group_size
lindian_d49f47adf817d7,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\200718.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\200718.MP4,2062967,692c863f7ba820e07accc02b19664b23c1cbb2dfb6baa2efa988f80cc7fa64d2,,20230805,160223,200718,,20230805T160223_200718,derived_clip_hint,,True,8.65060920157632,141,16.299430099594247,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_2f1eb8b0eae350,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\200713.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\200713.MP4,2327386,26f020fa6849f511af972ca22bf58f408a9a9734df436d9489789bc1d79d4ca4,,20230805,160920,200713,,20230805T160920_200713,derived_clip_hint,,True,8.640372129082275,141,16.318741588156126,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_33141cd80c94f3,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161529n210994\210994.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161529n210994\210994.MP4,1277743,eccedd8012c3bcaebf9d7d0c95497b21934ca989fa806dcac4f259913084cd9c,,20230805,161529,210994,,20230805T161529_210994,derived_clip_hint,,True,8.744842273392786,89,10.177427701674278,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_cd85bd47ae7d94,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161802n211049\211049.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161802n211049\211049.MP4,813798,b8b5ea9b234e9d0fd5c1167b8925d489971106fa818d430d2f402311fdd872bb,,20230805,161802,211049,,20230805T161802_211049,derived_clip_hint,,True,8.664554531490015,53,6.116875346260388,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_6b1b5fe56d9513,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162156n200937\200937.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162156n200937\200937.MP4,1318619,b453fb701816cbdd3d1dd228b308d98ec5eb9a58747ad11ba6d30232f874ced4,,20230805,162156,200937,,20230805T162156_200937,derived_clip_hint,,True,8.753404101595065,89,10.167473015873016,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_88801678727e4d,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\170272.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\170272.MP4,1571376,c0007f24778e763fe64f1011f51951bd7ff3163f7b1bdcb361c5d7afebb0c613,,20230805,162420,170272,,20230805T162420_170272,derived_clip_hint,,True,8.694826767916469,106,12.191157205240174,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_5879e9d103350a,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\211056.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\211056.MP4,1840259,47ab6a8e6845e1566a1688913fc774d01164b3863ce224af1d9f237e6243e26b,,20230805,163001,211056,,20230805T163001_211056,derived_clip_hint,,True,8.710086138312397,116,13.317893549842129,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_07446e6907247f,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\16170075.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\16170075.MP4,1683026,0e77461b02d62772ad1d4c792aa93613ffb1c49924f37e5c161d3a2f84adb54d,,20230805,163542,16170075,,20230805T163542_16170075,derived_clip_hint,,True,8.651114745631402,124,14.333412935323384,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_97395a11751d02,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\170334.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\170334.MP4,2412728,cc729d9be20f1eb84973e6321bbf842565cdc1c26a77cd273a491595ad7af65e,,20230805,164143,170334,,20230805T164143_170334,derived_clip_hint,,True,8.61188486536676,141,16.372722371967654,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
lindian_1f2c3b7592c1c5,lindian,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164618n210944\210944.MP4,0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164618n210944\210944.MP4,1176705,e74338d109341eb21be34ba39920a69d5f193903f1ac810447719644fcc8f451,,20230805,164618,210944,,20230805T164618_210944,derived_clip_hint,,True,8.626272225967224,62,7.187345631565462,1080,1440,False,False,unknown,,,reference_or_renamed_media_review,False,2
