file_id,farm,path,relative_path,bytes,sampled_fingerprint,sha256_full,date_from_name,time_from_name,cow_token,cow_identity_verified,session_token,modality_hint,modality_verified,opens,fps_metadata,frames_metadata,duration_seconds_metadata,width,height,known_development_session,known_development_cow,yolo_training_exposure,rr_tuning_exposure_review,rr_result_viewing_exposure_review,candidate_role,eligible_independent_test,sampled_duplicate_group_size,reviewer,review_date,review_notes
jiufu_336c6a37c1e8bf,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084330-1479.MP4,0729\IRT\20240729T084330-1479.MP4,10167581,b2e43668922948297f876324d8b61ded446015b1b599805810226b0a1c806e49,,20240729,084330,1479,,20240729T084330_1479,thermal_name_hint,,True,8.742652801183773,709,81.09666666666666,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_3daca4f99093f5,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084508-1285.MP4,0729\IRT\20240729T084508-1285.MP4,12740221,5740d367e452bf9ef63a0b36e3d2ef23e75cca302acc6c7300e386037d74b37f,,20240729,084508,1285,,20240729T084508_1285,thermal_name_hint,,True,8.739307064768637,882,100.92333333333333,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_aed96a8cd6dde3,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084843-A1022198.MP4,0729\IRT\20240729T084843-A1022198.MP4,11400056,821aefad09ce3e11d68b60ecdf01de45f44789e2d16292fef6069a4c30bbf232,,20240729,084843,A1022198,,20240729T084843_A1022198,thermal_name_hint,,True,8.748120162858086,795,90.87666666666667,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_e6b17e79b0b593,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085342-1568.MP4,0729\IRT\20240729T085342-1568.MP4,12850763,d7cb8354eae7a4d9f0cb74759d9d9a0b5770eddd7d7996d9cfbcef185b394458,,20240729,085342,1568,,20240729T085342_1568,thermal_name_hint,,True,8.538252491147164,864,101.19166666666666,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_d57a389e370ce5,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,0729\IRT\20240729T085557-508.MP4,7633984,334dd2f1cc3f303b79515b151c5820ad3b610a11ee3ff3eb79837b4d74528ee5,,20240729,085557,508,,20240729T085557_508,thermal_name_hint,,True,8.739677812373088,538,61.55833333333333,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_c3e3a442b21394,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085753-100.MP4,0729\IRT\20240729T085753-100.MP4,11074869,cbc9f454af678378b647dd9bfec612c978c77758b6c78cbeb471d6e890ce832f,,20240729,085753,100,,20240729T085753_100,thermal_name_hint,,True,8.736870046642144,768,87.90333333333334,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_4dc4f1ecb57fa5,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090140-903.MP4,0729\IRT\20240729T090140-903.MP4,3252880,18f04d8cc6fde963b215c7877628fc7ca7b882cfb4a7643f6eacc4622cf17d57,,20240729,090140,903,,20240729T090140_903,thermal_name_hint,,True,8.698999230177058,226,25.980000000000004,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_d34b67b3b4cc6c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090228-638.MP4,0729\IRT\20240729T090228-638.MP4,11354905,91dccffcb28450fdcc9c21f35b24ce35cea55977977b07186ec9dab932643f80,,20240729,090228,638,,20240729T090228_638,thermal_name_hint,,True,8.539016075852691,764,89.47166666666666,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_b79d91910dc17a,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,0729\IRT\20240729T090927-681.MP4,13150149,43cffac78006f1a3d8aa3740b91d2e45c113ff45eb4a8efbdfe7cdf36af98707,,20240729,090927,681,,20240729T090927_681,thermal_name_hint,,True,8.768307322929171,913,104.125,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_d31bd7d7642ce6,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091138-921.MP4,0729\IRT\20240729T091138-921.MP4,12824816,6806798096532414cac7831d4d7b19bce0d57a8ea4c78fcef228d3848297c361,,20240729,091138,921,,20240729T091138_921,thermal_name_hint,,True,8.565070468968928,866,101.10833333333333,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_73db0107967f0e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091441-683.MP4,0729\IRT\20240729T091441-683.MP4,5235390,24145ea93caa8663bec2ad5f07be1443161bb59a91a737c58c1a078506e00b67,,20240729,091441,683,,20240729T091441_683,thermal_name_hint,,True,8.191791954490045,336,41.016666666666666,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_8db6ed7f9c3ad8,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,0729\IRT\20240729T092004-677.MP4,15480696,b368d0ae9083d6eb7551345a02aadf7497fe2a52a0a1f64b345558b2e202e48d,,20240729,092004,677,,20240729T092004_677,thermal_name_hint,,True,8.755088568599406,1061,121.18666666666665,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_8a93efdf555173,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,0729\IRT\20240729T092254-844.MP4,15920101,baf545a4a37362d374c34d2b244de312bd7173bbff82322e8384816d7b4c2f8a,,20240729,092254,844,,20240729T092254_844,thermal_name_hint,,True,8.720837540521869,1094,125.44666666666667,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_75a484b3f5253b,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,0729\IRT\20240729T092746-1425.MP4,5688513,e5529b9a8f3da5f967b891814ca7d05d5a9e72b6acb03c5b0ca9c14d674544f9,,20240729,092746,1425,,20240729T092746_1425,thermal_name_hint,,True,8.677776962043902,394,45.403333333333336,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_35f0adf19ed368,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,0729\IRT\20240729T092858-622.MP4,14263063,339dd0f9038ee86a57c20bc49e0a2eb87e1d91d605136fe6dc5c44ee9d3d09d1,,20240729,092858,622,,20240729T092858_622,thermal_name_hint,,True,8.755425845543028,985,112.50166666666668,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
jiufu_7045c3900be0cc,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,0729\IRT\20240729T093120-921.MP4,12580183,5d8cbd967dc3970c973075ec5ec697f5776d6bec495939c28419ee2a3962fde4,,20240729,093120,921,,20240729T093120_921,thermal_name_hint,,True,8.557055505682685,842,98.39833333333333,1080,1440,False,False,no_user_confirmed_20260909,,,hold_pending_exposure_and_identity,False,1,,,
