frame_id,video_group,frame_index,split,image_path,label_path,label_exists,manual_json_exists
16170075_frame_000000,16170075,0,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000000.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000000.txt,True,True
16170075_frame_000001,16170075,1,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000001.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000001.txt,True,False
16170075_frame_000002,16170075,2,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000002.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000002.txt,True,False
16170075_frame_000003,16170075,3,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000003.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000003.txt,True,True
16170075_frame_000004,16170075,4,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000004.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000004.txt,True,False
16170075_frame_000005,16170075,5,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000005.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000005.txt,True,False
16170075_frame_000006,16170075,6,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000006.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000006.txt,True,True
16170075_frame_000007,16170075,7,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000007.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000007.txt,True,False
16170075_frame_000009,16170075,9,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000009.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000009.txt,True,True
16170075_frame_000010,16170075,10,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000010.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000010.txt,True,False
16170075_frame_000011,16170075,11,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000011.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000011.txt,True,False
16170075_frame_000012,16170075,12,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000012.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000012.txt,True,True
16170075_frame_000013,16170075,13,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000013.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000013.txt,True,False
16170075_frame_000014,16170075,14,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000014.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000014.txt,True,False
16170075_frame_000017,16170075,17,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000017.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000017.txt,True,False
16170075_frame_000018,16170075,18,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000018.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000018.txt,True,True
16170075_frame_000019,16170075,19,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000019.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000019.txt,True,False
16170075_frame_000020,16170075,20,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000020.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000020.txt,True,False
16170075_frame_000021,16170075,21,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000021.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000021.txt,True,True
16170075_frame_000022,16170075,22,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000022.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000022.txt,True,False
16170075_frame_000023,16170075,23,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000023.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000023.txt,True,False
16170075_frame_000024,16170075,24,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000024.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000024.txt,True,True
16170075_frame_000026,16170075,26,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000026.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000026.txt,True,False
16170075_frame_000030,16170075,30,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000030.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000030.txt,True,True
16170075_frame_000031,16170075,31,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000031.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000031.txt,True,False
16170075_frame_000033,16170075,33,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000033.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000033.txt,True,True
16170075_frame_000034,16170075,34,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000034.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000034.txt,True,False
16170075_frame_000035,16170075,35,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000035.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000035.txt,True,False
16170075_frame_000036,16170075,36,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000036.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000036.txt,True,True
16170075_frame_000037,16170075,37,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000037.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000037.txt,True,False
16170075_frame_000038,16170075,38,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000038.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000038.txt,True,False
16170075_frame_000039,16170075,39,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000039.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000039.txt,True,True
16170075_frame_000040,16170075,40,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000040.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000040.txt,True,False
16170075_frame_000041,16170075,41,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000041.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000041.txt,True,False
16170075_frame_000042,16170075,42,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000042.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000042.txt,True,True
16170075_frame_000043,16170075,43,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000043.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000043.txt,True,False
16170075_frame_000044,16170075,44,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000044.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000044.txt,True,False
16170075_frame_000046,16170075,46,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000046.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000046.txt,True,False
16170075_frame_000047,16170075,47,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000047.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000047.txt,True,False
16170075_frame_000048,16170075,48,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000048.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000048.txt,True,True
16170075_frame_000050,16170075,50,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000050.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000050.txt,True,False
16170075_frame_000051,16170075,51,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000051.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000051.txt,True,True
16170075_frame_000052,16170075,52,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000052.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000052.txt,True,False
16170075_frame_000053,16170075,53,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000053.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000053.txt,True,False
16170075_frame_000054,16170075,54,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000054.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000054.txt,True,True
16170075_frame_000057,16170075,57,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000057.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000057.txt,True,True
16170075_frame_000058,16170075,58,train,E:\real\use_code\yoloV8\Dataset_new\72video\images\train\16170075_frame_000058.jpg,E:\real\use_code\yoloV8\Dataset_new\72video\labels\train\16170075_frame_000058.txt,True,False
