video_id,truth_count_old,truth_count,reference_reliability,annotation_status,duration_seconds
16170075,27,27,completed,completed,30.05393034825871
170272,24,24,completed,completed,30.017849344978167
170333,19,19,completed,completed,30.042281382880383
170334,15,15,completed,completed,29.95859838274933
177395,35,35,completed,completed,29.998069276741063
190546,20,20,uncertain,uncertain,30.01181962653953
190588,23,23,completed,completed,29.959285236022765
196434,15,15,completed,completed,30.04580009847366
200713,17,17,completed,completed,29.975560789591743
200718,17,17,completed,completed,30.05568670847165
210989,18,18,completed,completed,30.03784545967288
211056,26,26,completed,completed,29.96526048714479
211070,24,24,uncertain,uncertain,29.952793167128345
ba170296,17,17,completed,completed,30.01586849106804
ba177610,22,22,completed,completed,29.973055245535715
ba455,26,26,completed,completed,29.98958863443596
ba6516,21,21,completed,completed,30.01400938967136
bs0514,22,22,completed,completed,29.97751336898396
bs170227,19,19,completed,completed,30.048145583256385
bs177611,19,19,uncertain,uncertain,29.988631172026007
bs189556,12,12,completed,completed,29.99621256038647
bs190624,27,27,completed,completed,29.963146779303063
bs200673,32,32,completed,completed,30.01998652654272
bs200794,28,28,uncertain,uncertain,29.954269227301413
bs210974,29,29,completed,completed,30.03132992327366
bs211046,17,17,completed,completed,29.95716023635732
bs211063,32,32,completed,completed,29.963483920367533
bs450,30,30,completed,completed,29.95164951989026
bs455,21,21,completed,completed,30.0126397515528
bs4717,30,30,completed,completed,29.98958863443596
bs6516,18,18,completed,completed,30.042380952380952
ns170082,30,30,completed,completed,30.024077509791795
ns179166,33,33,completed,completed,30.04530332681017
ns196527,34,34,completed,completed,30.04931547619048
ns200886,29,29,completed,completed,30.037044829482944
ns210947,21,21,uncertain,uncertain,29.98227848101266
ns211003,22,22,completed,completed,30.04037760847963
ns211095,28,28,uncertain,uncertain,30.01799876084263
ns211117,29,29,uncertain,uncertain,30.029758089852344
ns211146,29,29,uncertain,uncertain,29.97117408906883
zs170053,20,20,uncertain,uncertain,30.054171961033465
zs170236,31,31,completed,completed,29.98239848484848
zs170416,22,22,completed,completed,30.046774193548387
zs170554,22,22,completed,completed,29.967104111986004
zs190621,20,20,uncertain,uncertain,29.97782881641402
zs197000,25,25,completed,completed,30.054714251554284
zs200751,30,30,completed,completed,30.00239961296565
zs200783,21,21,completed,completed,29.99549270879364
zs211062,18,18,completed,completed,30.04319803446419
