frame_id,status,reason,json_path,json_sha256,group,fold,image_source,image_source_path,image_source_sha256,image_path,image_sha256,label_path,label_sha256,instances,visible_points
16170075_frame_000000,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000000.json,d63589dc0ca25cb065394bd40dcb8130ceb3082adf6733fd5213cf8b49663b9b,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000000.json,d63589dc0ca25cb065394bd40dcb8130ceb3082adf6733fd5213cf8b49663b9b,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000000.png,25c632c19250850f571b44a227dfa41adf28bd623c335a1eae7b92a23021aec4,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000000.txt,133afbaf79739e548cde643a654ffc305fc9a932712bbe071854aef6ba0e57b8,1.0,2.0
16170075_frame_000003,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000003.json,9d808ead1641a8265d8edd01560ff289aa3791410b6a53d9e0a63bdc92804165,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000003.json,9d808ead1641a8265d8edd01560ff289aa3791410b6a53d9e0a63bdc92804165,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000003.png,8bedae4fc4b1d34409098c24c93f76c0e1c4d37434a53bf9ab8b9560238559f5,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000003.txt,6590286e93d354bdbe291fc5b94509e1290c2d5e30123a195ffbc279f1828212,1.0,2.0
16170075_frame_000006,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000006.json,bdb45c620327892ba901cbc673b777b7fef45537f01646cdeb5927d9662da030,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000006.json,bdb45c620327892ba901cbc673b777b7fef45537f01646cdeb5927d9662da030,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000006.png,fc78b718da9b21e9ecb6edba44132ebdf2e2f599c7d21d00d99e244bea18406f,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000006.txt,507c807a3ac932c8ab29da22296cb815c74917c3e5edb191f1741682b3f2b93b,1.0,2.0
16170075_frame_000009,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000009.json,1b4a2cae7814776ed5aea8220b181527c98584cb46085789d675e5d3291f6b08,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000009.json,1b4a2cae7814776ed5aea8220b181527c98584cb46085789d675e5d3291f6b08,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000009.png,02edf9fe79ec5b3eddc57ad22b3a3a6706324209e626118db99edfec550f94c1,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000009.txt,7d19a7422ea74895cd1f888ebe17d01fb421ca7c06596fc3dbf58dd6f8247e08,1.0,2.0
16170075_frame_000012,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000012.json,65c7408abcd2e1a2980431e21692fb928f4f0d38236ed20de37cc6dd731b88a5,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000012.json,65c7408abcd2e1a2980431e21692fb928f4f0d38236ed20de37cc6dd731b88a5,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000012.png,debf48c8bc0468d541f589e0165576a46e9eef7c8473b40ce701cf5427b4ed3c,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000012.txt,05c647f5091dd6520e1491f6df56972ff8d0389f56d5466eec06d439618a4c19,1.0,2.0
16170075_frame_000015,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000015.json,8c7f4fce1e03547ad6a6ef4c53885492613cfbc4257d09b267209b59549970f8,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000015.json,8c7f4fce1e03547ad6a6ef4c53885492613cfbc4257d09b267209b59549970f8,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000015.png,532b07d28d32017e5c9c020fbdb05bbb572b2950c553940deb6a779470aa6a0b,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000015.txt,e8a0fb7eb37774444aecfa257bafa1a48b46307113cb2bb1d45f9dfb96e08d40,1.0,2.0
16170075_frame_000018,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000018.json,d56c70e959352b564e5a6d907bb68f3bdcf9eac036fdb8fe888e604f125a7c80,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000018.json,d56c70e959352b564e5a6d907bb68f3bdcf9eac036fdb8fe888e604f125a7c80,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000018.png,f14654ef67038d594d682dd8678e049cb7f404515ee00be3fb151482c0dbd702,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000018.txt,fe9ef61d4d8c8c626722200422b3499641158cccfc1840d4f6c7b81a31fe7228,1.0,2.0
16170075_frame_000021,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000021.json,6efc4e9039cdf2c88a34ee3a4d05578c292a749856575eb4aea5a44bbd9ed1ae,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000021.json,6efc4e9039cdf2c88a34ee3a4d05578c292a749856575eb4aea5a44bbd9ed1ae,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000021.png,c1df6388185b9ed2deb4f4dccc717dfbc4e755644eedcda9f0b8b0be879e58fe,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000021.txt,e8386539249c6185a6c50c66afa04c8334e60d1e907686252b44e6c50adab3d7,1.0,2.0
16170075_frame_000024,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000024.json,44445c5589629d7b00a937d2e4f43508a17bed3e7d01b56f299e913549dee524,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000024.json,44445c5589629d7b00a937d2e4f43508a17bed3e7d01b56f299e913549dee524,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000024.png,4142bb3fd947f165400d1bf857dc1591f934421ad4ab4844a67b5c2dcf47c2ef,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000024.txt,4b8fdb36277ffe54ff23ed11b9740a11efe5bd77fd496a80bffb9945b8735dd9,1.0,2.0
16170075_frame_000027,included,,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000027.json,1837e5d4e9b8d5092142b3b618fa5c1b060cf2be480cf649a8be4a1c3e1e7885,16170075,4,json_embedded,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000027.json,1837e5d4e9b8d5092142b3b618fa5c1b060cf2be480cf649a8be4a1c3e1e7885,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\images\16170075_frame_000027.png,4c975c89d60456c5716b3da05538d3e075d727fd16cf588205e81fb04a6710ab,E:\real\use_code\yoloV8\Experiment\04_跨牧场机制补强\20260922_pose_phase_v1\legacy_annotation_audit_v1\confirmed_json_pose_v1\labels\16170075_frame_000027.txt,6582bffb43793129beda63935c5810c1474586489f8276ab47f645634bf5248e,1.0,2.0
